          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.97115,                0.84504,                 1.4869,                0.88387,                0.94211,                0.96324,                0.78272,                0.76859,                0.84372,                  1.172,              0.0014159,              0.0014159,              0.0014159
                     61,                0.99019,                0.89676,                 1.5036,                0.87794,                0.90852,                0.95517,                0.73587,                0.77475,                0.98198,                 1.2654,               0.001406,               0.001406,               0.001406
                     62,                0.94257,                0.83919,                 1.4528,                0.77224,                0.90526,                0.89657,                0.70087,                0.77534,                 1.1416,                 1.3244,              0.0013961,              0.0013961,              0.0013961
                     63,                0.89516,                0.81693,                 1.4421,                0.85568,                0.90497,                0.92212,                0.73139,                0.71131,                0.89476,                 1.2397,              0.0013862,              0.0013862,              0.0013862
                     64,                0.91722,                0.82061,                 1.4585,                0.77657,                0.86842,                0.88541,                0.73157,                0.66967,                0.90534,                 1.1848,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.0186,                0.90645,                 1.5171,                0.91101,                0.91594,                0.96565,                0.81674,                0.62189,                0.65244,                 1.1481,              0.0013664,              0.0013664,              0.0013664
                     66,                0.91013,                0.80487,                 1.4512,                0.91237,                0.92105,                0.96943,                0.82353,                0.62233,                0.81709,                 1.0883,              0.0013565,              0.0013565,              0.0013565
                     67,                0.95445,                 0.8232,                 1.4473,                0.84584,                0.95263,                0.95026,                0.78405,                0.76141,                0.86485,                 1.1608,              0.0013466,              0.0013466,              0.0013466
                     68,                0.93137,                0.82944,                 1.4652,                0.92221,                0.93598,                 0.9756,                0.81341,                0.65223,                0.81763,                 1.1508,              0.0013367,              0.0013367,              0.0013367
                     69,                0.85674,                0.77801,                 1.3952,                0.93692,                0.92105,                0.96586,                0.84459,                0.59088,                0.81851,                 1.0515,              0.0013268,              0.0013268,              0.0013268
                     70,                0.86654,                0.77066,                  1.389,                0.87535,                0.84737,                0.92885,                0.77613,                0.62804,                 1.0775,                 1.1323,              0.0013169,              0.0013169,              0.0013169
                     71,                0.88942,                0.79756,                 1.4219,                0.92057,                0.93684,                0.98016,                0.83053,                0.64288,                 0.7837,                 1.1061,               0.001307,               0.001307,               0.001307
                     72,                0.85206,                0.74245,                 1.3789,                0.88013,                 0.9275,                0.95389,                0.77127,                0.69475,                0.78696,                 1.1646,              0.0012971,              0.0012971,              0.0012971
                     73,                0.88431,                0.75568,                 1.4164,                0.81785,                0.86316,                0.91283,                 0.7559,                0.62379,                 0.9275,                  1.097,              0.0012872,              0.0012872,              0.0012872
                     74,                0.92007,                0.78789,                 1.4343,                0.93056,                0.91693,                0.94924,                 0.8035,                0.61756,                 0.7649,                 1.0945,              0.0012773,              0.0012773,              0.0012773
                     75,                0.86361,                0.74182,                 1.4011,                0.90252,                0.88421,                0.95493,                0.79819,                0.66785,                0.79068,                 1.1049,              0.0012674,              0.0012674,              0.0012674
                     76,                0.82132,                0.73064,                 1.3731,                0.88791,                    0.9,                 0.9663,                0.85346,                0.55982,                0.75586,                 1.0413,              0.0012575,              0.0012575,              0.0012575
                     77,                 0.8615,                0.74728,                 1.3955,                0.95189,                0.93717,                0.97963,                 0.8416,                0.60483,                0.59251,                 1.0734,              0.0012476,              0.0012476,              0.0012476
                     78,                0.88282,                0.76432,                  1.425,                0.93233,                0.94261,                0.96843,                0.80885,                0.66823,                0.76631,                 1.1183,              0.0012377,              0.0012377,              0.0012377
                     79,                0.83171,                0.73034,                 1.3682,                0.89283,                0.94737,                0.96897,                0.85279,                0.56817,                0.78964,                 1.0405,              0.0012278,              0.0012278,              0.0012278
                     80,                0.85468,                0.74712,                 1.3884,                0.96518,                0.96316,                0.98942,                 0.8689,                 0.5397,                0.53155,                 1.0037,              0.0012179,              0.0012179,              0.0012179
