          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.5941,                 1.4456,                 2.0835,                0.79697,                0.81053,                0.90467,                0.64384,                 1.1033,                 1.4723,                 1.6187,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.5576,                 1.4329,                 2.0231,                 0.7736,                0.86842,                0.87738,                0.58816,                 1.1149,                 1.4267,                 1.6342,               0.001505,               0.001505,               0.001505
                     52,                 1.5978,                 1.4388,                 2.0718,                0.70182,                0.84737,                0.80692,                0.49615,                 1.3639,                 1.3511,                 1.7917,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.4756,                 1.3409,                 1.9609,                0.82319,                0.79474,                0.90925,                0.68917,                 1.0014,                 1.3928,                  1.521,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.5764,                 1.4313,                 2.0804,                0.81361,                0.74211,                0.88357,                0.60581,                 1.1811,                 1.7857,                 1.6718,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.5446,                 1.4304,                 2.0071,                0.86788,                0.85263,                0.94055,                0.71027,                0.96193,                 1.1429,                 1.5436,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.5359,                 1.3859,                 2.0434,                0.89837,                0.88392,                0.95375,                0.69795,                 1.0249,                 1.1436,                 1.6089,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.4951,                 1.3892,                 1.9789,                 0.8405,                0.88749,                0.93455,                0.67397,                 1.1069,                 1.3124,                 1.6116,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.4159,                 1.3025,                 1.9075,                0.64715,                0.68421,                 0.6853,                0.40999,                 1.3113,                 1.9802,                 1.8797,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.5018,                 1.3761,                 1.9949,                0.85144,                0.74737,                0.90147,                0.60541,                 1.1633,                 1.4683,                 1.6689,              0.0014258,              0.0014258,              0.0014258
