          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.2509,                0.73989,                  1.151,                0.87211,                0.82101,                0.87045,                0.46056,                 1.4304,                0.81514,                 1.1361,               0.006436,               0.006436,               0.006436
                     74,                 1.2569,                0.74082,                  1.159,                0.86831,                0.82516,                0.87031,                0.46096,                 1.4274,                0.81531,                 1.1355,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2612,                0.74275,                 1.1603,                0.86921,                0.82576,                 0.8687,                0.46128,                 1.4206,                0.81402,                 1.1337,               0.006337,               0.006337,               0.006337
                     76,                 1.2571,                 0.7373,                 1.1609,                0.86893,                0.83164,                0.86983,                 0.4625,                 1.4146,                0.81234,                 1.1311,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2504,                0.73641,                 1.1552,                0.87614,                0.82845,                0.86876,                0.46279,                 1.4139,                0.81142,                 1.1309,               0.006238,               0.006238,               0.006238
                     78,                 1.2487,                0.73795,                 1.1606,                0.87191,                0.83264,                0.86929,                0.46356,                 1.4132,                0.80853,                 1.1308,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2486,                0.73262,                  1.158,                0.87012,                0.83305,                0.86982,                 0.4627,                 1.4152,                0.80715,                 1.1317,               0.006139,               0.006139,               0.006139
                     80,                 1.2474,                 0.7395,                 1.1598,                0.86396,                0.83345,                0.86634,                0.46205,                 1.4151,                0.80733,                 1.1309,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2475,                0.73389,                 1.1568,                0.86673,                0.83378,                0.86787,                0.46409,                 1.4141,                  0.806,                 1.1304,                0.00604,                0.00604,                0.00604
                     82,                 1.2398,                0.72919,                 1.1525,                0.87002,                0.82972,                 0.8682,                0.46463,                 1.4143,                0.80536,                   1.13,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2465,                0.73572,                 1.1487,                0.87276,                0.83047,                0.87151,                 0.4655,                 1.4156,                 0.8045,                 1.1295,               0.005941,               0.005941,               0.005941
                     84,                 1.2419,                0.73263,                 1.1561,                 0.8695,                 0.8303,                0.87251,                0.46598,                 1.4166,                0.80501,                 1.1302,              0.0058915,              0.0058915,              0.0058915
                     85,                   1.24,                0.73215,                 1.1532,                0.87004,                0.83485,                0.87542,                0.46651,                 1.4175,                0.80688,                   1.13,               0.005842,               0.005842,               0.005842
                     86,                 1.2432,                0.72704,                  1.151,                 0.8719,                0.83131,                0.87686,                0.46744,                 1.4171,                0.80771,                 1.1295,              0.0057925,              0.0057925,              0.0057925
                     87,                  1.242,                0.73408,                 1.1495,                 0.8655,                0.83283,                0.87446,                0.46665,                 1.4176,                 0.8072,                 1.1294,               0.005743,               0.005743,               0.005743
                     88,                 1.2452,                0.73095,                  1.154,                0.86892,                0.83578,                0.87665,                0.46743,                 1.4175,                0.80673,                 1.1296,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2391,                0.73434,                 1.1521,                0.86629,                 0.8389,                0.87646,                0.46831,                 1.4161,                0.80587,                 1.1289,               0.005644,               0.005644,               0.005644
                     90,                 1.2367,                0.73131,                  1.151,                0.87198,                0.83507,                0.87634,                0.46855,                 1.4147,                0.80523,                 1.1283,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2307,                0.72458,                 1.1409,                0.87132,                0.83658,                0.87749,                0.46896,                 1.4141,                0.80522,                 1.1281,               0.005545,               0.005545,               0.005545
                     92,                 1.2301,                0.72496,                 1.1479,                0.86818,                0.83431,                0.87527,                0.46863,                 1.4139,                0.80452,                 1.1279,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2405,                0.73167,                 1.1462,                0.87058,                0.83241,                0.87563,                0.46898,                 1.4126,                0.80351,                 1.1272,               0.005446,               0.005446,               0.005446
                     94,                 1.2283,                0.72257,                 1.1412,                0.86973,                 0.8349,                0.87551,                0.46969,                 1.4115,                0.80185,                 1.1267,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2302,                0.72347,                 1.1465,                0.86866,                0.83721,                0.87625,                0.46991,                 1.4103,                0.80045,                 1.1263,               0.005347,               0.005347,               0.005347
                     96,                 1.2294,                0.72586,                 1.1485,                0.87101,                0.83281,                0.87696,                0.47077,                 1.4095,                0.80005,                 1.1261,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2294,                0.72537,                 1.1436,                0.87314,                0.83493,                0.87879,                0.47097,                 1.4088,                0.79984,                 1.1257,               0.005248,               0.005248,               0.005248
                     98,                 1.2231,                0.72546,                 1.1471,                0.87128,                0.83749,                0.87893,                0.47156,                 1.4082,                 0.7987,                 1.1255,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2243,                0.71967,                 1.1411,                0.87088,                0.83792,                0.87931,                0.47178,                 1.4076,                0.79783,                 1.1248,               0.005149,               0.005149,               0.005149
